class,name,total,algum conteudo foi publicado,assinatura criada,assinatura de discussao criada,comentario apagado,comentario criado,curso visto,discussao visualizada,discussao criada,formulario de confirmacao de submissao visualizado,formulario de submissao visualizado,lista de instancias de modulos de cursos visualizados,lista de usuarios vistos,modulo do curso visualizado,o status da submissao foi visualizado,o usuario aceitou o acordo da tarefa,o usuario salvou um envio,perfil do usuario visto,post atualizado,post criado,relatorio de notas do usuario visualizado,relatorio de um utilizador do curso visualizado,submissao criada,um arquivo foi enviado,um envio foi submetido,visualizado relatorio de usuario
inactive,Student_40,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
inactive,Student_36,16,1,0,0,0,0,29,0,0,0,1,5,0,32,54,0,0,0,0,2,17,0,2,0,2,0
inactive,Student_21,0,0,0,0,0,0,10,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
inactive,Student_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
inactive,Student_7,5,0,0,0,0,0,2,0,0,0,9,0,0,18,6,0,0,0,0,0,1,0,0,0,0,0
inactive,Student_15,17,0,0,0,0,0,19,0,0,0,0,0,0,14,4,0,0,0,0,0,18,0,0,0,0,0
inactive,Student_10,19,1,0,0,0,0,13,0,0,0,0,0,0,4,17,0,0,0,0,0,0,0,0,0,0,0
inactive,Student_2,40,1,0,0,0,0,4,18,0,0,0,0,0,4,8,0,0,0,0,0,0,0,7,3,0,0
inactive,Student_47,30,0,0,0,0,0,37,10,0,0,6,0,0,8,17,0,0,8,0,1,24,0,0,4,7,0
inactive,Student_37,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
